rank;title;revenue;ceo;title;sector;industry;hq;website;years;employees
669;Global Payments;$3,371;NA;NA;NA;NA;NA;NA;NA;NA;
670;Atmos Energy;$3,350;NA;NA;NA;NA;NA;NA;NA;NA;
671;TEGNA;$3,341;NA;NA;NA;NA;NA;NA;NA;NA;
672;Diebold Nixdorf;$3,341;NA;NA;NA;NA;NA;NA;NA;NA;
673;PolyOne;$3,340;NA;NA;NA;NA;NA;NA;NA;NA;
674;TD Ameritrade Holding;$3,334;NA;NA;NA;NA;NA;NA;NA;NA;
675;Abercrombie & Fitch;$3,327;NA;NA;NA;NA;NA;NA;NA;NA;
676;Greif;$3,324;NA;NA;NA;NA;NA;NA;NA;NA;
677;Alliant Energy;$3,320;NA;NA;NA;NA;NA;NA;NA;NA;
678;American Water Works;$3,302;NA;NA;NA;NA;NA;NA;NA;NA;
679;Acuity Brands;$3,291;NA;NA;NA;NA;NA;NA;NA;NA;
680;Skyworks Solutions;$3,289;NA;NA;NA;NA;NA;NA;NA;NA;
681;FMC;$3,282;NA;NA;NA;NA;NA;NA;NA;NA;
682;Amerco;$3,276;NA;NA;NA;NA;NA;NA;NA;NA;
683;CUNA Mutual Group;$3,272;NA;NA;NA;NA;NA;NA;NA;NA;
684;Brinker International;$3,258;NA;NA;NA;NA;NA;NA;NA;NA;
685;Buckeye Partners;$3,248;NA;NA;NA;NA;NA;NA;NA;NA;
686;Warner Music Group;$3,246;NA;NA;NA;NA;NA;NA;NA;NA;
687;Universal Forest Products;$3,241;NA;NA;NA;NA;NA;NA;NA;NA;
688;American National Insurance;$3,228;NA;NA;NA;NA;NA;NA;NA;NA;
689;Mercury General;$3,228;NA;NA;NA;NA;NA;NA;NA;NA;
690;Regal Beloit;$3,225;NA;NA;NA;NA;NA;NA;NA;NA;
691;Varian Medical Systems;$3,218;NA;NA;NA;NA;NA;NA;NA;NA;
692;Aaron’s;$3,208;NA;NA;NA;NA;NA;NA;NA;NA;
693;Visteon;$3,206;NA;NA;NA;NA;NA;NA;NA;NA;
694;Carter’s;$3,199;NA;NA;NA;NA;NA;NA;NA;NA;
695;Meritor;$3,199;NA;NA;NA;NA;NA;NA;NA;NA;
696;Regal Entertainment Group;$3,197;NA;NA;NA;NA;NA;NA;NA;NA;
697;Mednax;$3,183;NA;NA;NA;NA;NA;NA;NA;NA;
698;TransDigm Group;$3,171;NA;NA;NA;NA;NA;NA;NA;NA;
699;Landstar System;$3,168;NA;NA;NA;NA;NA;NA;NA;NA;
700;Puget Energy;$3,164;NA;NA;NA;NA;NA;NA;NA;NA;
701;Coca-Cola Bottling;$3,156;NA;NA;NA;NA;NA;NA;NA;NA;
702;Kar Auction Services;$3,150;NA;NA;NA;NA;NA;NA;NA;NA;
703;Equifax;$3,145;NA;NA;NA;NA;NA;NA;NA;NA;
704;Groupon;$3,143;NA;NA;NA;NA;NA;NA;NA;NA;
705;IAC/InterActiveCorp;$3,140;NA;NA;NA;NA;NA;NA;NA;NA;
706;Weis Markets;$3,137;NA;NA;NA;NA;NA;NA;NA;NA;
707;Allegheny Technologies;$3,135;NA;NA;NA;NA;NA;NA;NA;NA;
708;Pinnacle Foods;$3,128;NA;NA;NA;NA;NA;NA;NA;NA;
709;Tempur Sealy International;$3,127;NA;NA;NA;NA;NA;NA;NA;NA;
710;SkyWest;$3,121;NA;NA;NA;NA;NA;NA;NA;NA;
711;International Flavors & Fragrances;$3,116;NA;NA;NA;NA;NA;NA;NA;NA;
712;BMC Stock Holdings;$3,094;NA;NA;NA;NA;NA;NA;NA;NA;
713;Brown-Forman;$3,089;NA;NA;NA;NA;NA;NA;NA;NA;
714;Alexion Pharmaceuticals;$3,084;NA;NA;NA;NA;NA;NA;NA;NA;
715;KapStone Paper & Packaging;$3,077;NA;NA;NA;NA;NA;NA;NA;NA;
716;Time;$3,076;NA;NA;NA;NA;NA;NA;NA;NA;
717;TriNet Group;$3,060;NA;NA;NA;NA;NA;NA;NA;NA;
718;Steelcase;$3,060;NA;NA;NA;NA;NA;NA;NA;NA;
719;EchoStar;$3,057;NA;NA;NA;NA;NA;NA;NA;NA;
720;Sentry Insurance Group;$3,053;NA;NA;NA;NA;NA;NA;NA;NA;
721;Monster Beverage;$3,049;NA;NA;NA;NA;NA;NA;NA;NA;
722;Gannett;$3,048;NA;NA;NA;NA;NA;NA;NA;NA;
723;Fossil Group;$3,042;NA;NA;NA;NA;NA;NA;NA;NA;
724;Univision Communications;$3,042;NA;NA;NA;NA;NA;NA;NA;NA;
725;Meritage Homes;$3,042;NA;NA;NA;NA;NA;NA;NA;NA;
726;MRC Global;$3,041;NA;NA;NA;NA;NA;NA;NA;NA;
727;H&R Block;$3,038;NA;NA;NA;NA;NA;NA;NA;NA;
728;Penn National Gaming;$3,034;NA;NA;NA;NA;NA;NA;NA;NA;
729;Service Corp. International;$3,031;NA;NA;NA;NA;NA;NA;NA;NA;
730;Brink’s;$3,021;NA;NA;NA;NA;NA;NA;NA;NA;
731;Old Dominion Freight Line;$2,992;NA;NA;NA;NA;NA;NA;NA;NA;
732;Triple-S Management;$2,985;NA;NA;NA;NA;NA;NA;NA;NA;
733;KLA-Tencor;$2,985;NA;NA;NA;NA;NA;NA;NA;NA;
734;Edwards Lifesciences;$2,964;NA;NA;NA;NA;NA;NA;NA;NA;
735;Rent-A-Center;$2,963;NA;NA;NA;NA;NA;NA;NA;NA;
736;Comerica;$2,960;NA;NA;NA;NA;NA;NA;NA;NA;
737;Paychex;$2,952;NA;NA;NA;NA;NA;NA;NA;NA;
738;First Solar;$2,951;NA;NA;NA;NA;NA;NA;NA;NA;
739;Insperity;$2,941;NA;NA;NA;NA;NA;NA;NA;NA;
740;Scotts Miracle-Gro;$2,937;NA;NA;NA;NA;NA;NA;NA;NA;
741;B/E Aerospace;$2,933;NA;NA;NA;NA;NA;NA;NA;NA;
742;Westinghouse Air Brake Technologies;$2,931;NA;NA;NA;NA;NA;NA;NA;NA;
743;Cooper Tire & Rubber;$2,925;NA;NA;NA;NA;NA;NA;NA;NA;
744;Cinemark Holdings;$2,919;NA;NA;NA;NA;NA;NA;NA;NA;
745;Keysight Technologies;$2,918;NA;NA;NA;NA;NA;NA;NA;NA;
746;Convergys;$2,914;NA;NA;NA;NA;NA;NA;NA;NA;
747;Cracker Barrel Old Country Store;$2,912;NA;NA;NA;NA;NA;NA;NA;NA;
748;PriceSmart;$2,905;NA;NA;NA;NA;NA;NA;NA;NA;
749;Broadridge Financial Solutions;$2,897;NA;NA;NA;NA;NA;NA;NA;NA;
750;Scientific Games;$2,883;NA;NA;NA;NA;NA;NA;NA;NA;
751;Genesco;$2,868;NA;NA;NA;NA;NA;NA;NA;NA;
752;MSC Industrial Direct;$2,864;NA;NA;NA;NA;NA;NA;NA;NA;
753;Ryerson Holding;$2,860;NA;NA;NA;NA;NA;NA;NA;NA;
754;Acadia Healthcare;$2,853;NA;NA;NA;NA;NA;NA;NA;NA;
755;Hologic;$2,833;NA;NA;NA;NA;NA;NA;NA;NA;
756;Unisys;$2,821;NA;NA;NA;NA;NA;NA;NA;NA;
757;Worthington Industries;$2,820;NA;NA;NA;NA;NA;NA;NA;NA;
758;Sanderson Farms;$2,816;NA;NA;NA;NA;NA;NA;NA;NA;
759;WABCO Holdings;$2,810;NA;NA;NA;NA;NA;NA;NA;NA;
760;Panera Bread;$2,795;NA;NA;NA;NA;NA;NA;NA;NA;
761;Metaldyne Performance Group;$2,791;NA;NA;NA;NA;NA;NA;NA;NA;
762;Medical Mutual of Ohio;$2,757;NA;NA;NA;NA;NA;NA;NA;NA;
763;AMC Networks;$2,756;NA;NA;NA;NA;NA;NA;NA;NA;
764;Clean Harbors;$2,755;NA;NA;NA;NA;NA;NA;NA;NA;
765;Hovnanian Enterprises;$2,752;NA;NA;NA;NA;NA;NA;NA;NA;
766;TrueBlue;$2,751;NA;NA;NA;NA;NA;NA;NA;NA;
767;Crane;$2,748;NA;NA;NA;NA;NA;NA;NA;NA;
768;ServiceMaster Global Holdings;$2,746;NA;NA;NA;NA;NA;NA;NA;NA;
769;Sinclair Broadcast Group;$2,737;NA;NA;NA;NA;NA;NA;NA;NA;
770;Mutual of America Life Insurance;$2,725;NA;NA;NA;NA;NA;NA;NA;NA;
771;BGC Partners;$2,721;NA;NA;NA;NA;NA;NA;NA;NA;
772;DSW;$2,711;NA;NA;NA;NA;NA;NA;NA;NA;
773;Intuitive Surgical;$2,704;NA;NA;NA;NA;NA;NA;NA;NA;
774;ArcBest;$2,700;NA;NA;NA;NA;NA;NA;NA;NA;
775;PC Connection;$2,693;NA;NA;NA;NA;NA;NA;NA;NA;
776;A.O. Smith;$2,686;NA;NA;NA;NA;NA;NA;NA;NA;
777;Greenbrier Cos.;$2,680;NA;NA;NA;NA;NA;NA;NA;NA;
778;Great Plains Energy;$2,676;NA;NA;NA;NA;NA;NA;NA;NA;
779;Bon-Ton Stores;$2,674;NA;NA;NA;NA;NA;NA;NA;NA;
780;Dycom Industries;$2,673;NA;NA;NA;NA;NA;NA;NA;NA;
781;Timken;$2,670;NA;NA;NA;NA;NA;NA;NA;NA;
782;Aleris;$2,664;NA;NA;NA;NA;NA;NA;NA;NA;
783;Legg Mason;$2,661;NA;NA;NA;NA;NA;NA;NA;NA;
784;Hill-Rom Holdings;$2,655;NA;NA;NA;NA;NA;NA;NA;NA;
785;Stifel Financial;$2,642;NA;NA;NA;NA;NA;NA;NA;NA;
786;Verso;$2,641;NA;NA;NA;NA;NA;NA;NA;NA;
787;Qorvo;$2,611;NA;NA;NA;NA;NA;NA;NA;NA;
788;Ciena;$2,601;NA;NA;NA;NA;NA;NA;NA;NA;
789;Tetra Tech;$2,584;NA;NA;NA;NA;NA;NA;NA;NA;
790;Caleres;$2,579;NA;NA;NA;NA;NA;NA;NA;NA;
791;Pool;$2,571;NA;NA;NA;NA;NA;NA;NA;NA;
792;Hyster-Yale Materials Handling;$2,570;NA;NA;NA;NA;NA;NA;NA;NA;
793;Westar Energy;$2,562;NA;NA;NA;NA;NA;NA;NA;NA;
794;Public Storage;$2,561;NA;NA;NA;NA;NA;NA;NA;NA;
795;Plexus;$2,556;NA;NA;NA;NA;NA;NA;NA;NA;
796;Boston Properties;$2,551;NA;NA;NA;NA;NA;NA;NA;NA;
797;GNC Holdings;$2,540;NA;NA;NA;NA;NA;NA;NA;NA;
798;HCP;$2,538;NA;NA;NA;NA;NA;NA;NA;NA;
799;Penn Mutual Life Insurance;$2,537;NA;NA;NA;NA;NA;NA;NA;NA;
800;TTM Technologies;$2,533;NA;NA;NA;NA;NA;NA;NA;NA;
801;Prologis;$2,533;NA;NA;NA;NA;NA;NA;NA;NA;
802;Twitter;$2,530;NA;NA;NA;NA;NA;NA;NA;NA;
803;Kemper;$2,522;NA;NA;NA;NA;NA;NA;NA;NA;
804;Valmont Industries;$2,522;NA;NA;NA;NA;NA;NA;NA;NA;
805;Crestwood Equity Partners;$2,521;NA;NA;NA;NA;NA;NA;NA;NA;
806;Applied Industrial Technologies;$2,519;NA;NA;NA;NA;NA;NA;NA;NA;
807;VCA;$2,517;NA;NA;NA;NA;NA;NA;NA;NA;
808;Granite Construction;$2,515;NA;NA;NA;NA;NA;NA;NA;NA;
809;Vornado Realty Trust;$2,510;NA;NA;NA;NA;NA;NA;NA;NA;
810;Mettler-Toledo International;$2,508;NA;NA;NA;NA;NA;NA;NA;NA;
811;A. Schulman;$2,496;NA;NA;NA;NA;NA;NA;NA;NA;
812;Wolverine World Wide;$2,495;NA;NA;NA;NA;NA;NA;NA;NA;
813;Graham Holdings;$2,482;NA;NA;NA;NA;NA;NA;NA;NA;
814;Chico’s FAS;$2,476;NA;NA;NA;NA;NA;NA;NA;NA;
815;Domino’s Pizza;$2,473;NA;NA;NA;NA;NA;NA;NA;NA;
816;Zions Bancorp.;$2,470;NA;NA;NA;NA;NA;NA;NA;NA;
817;Southwest Gas Holdings;$2,461;NA;NA;NA;NA;NA;NA;NA;NA;
818;Tops Holding;$2,457;NA;NA;NA;NA;NA;NA;NA;NA;
819;Hawaiian Holdings;$2,451;NA;NA;NA;NA;NA;NA;NA;NA;
820;Vectren;$2,448;NA;NA;NA;NA;NA;NA;NA;NA;
821;Gartner;$2,445;NA;NA;NA;NA;NA;NA;NA;NA;
822;On Assignment;$2,440;NA;NA;NA;NA;NA;NA;NA;NA;
823;Southwestern Energy;$2,436;NA;NA;NA;NA;NA;NA;NA;NA;
824;Parexel International;$2,426;NA;NA;NA;NA;NA;NA;NA;NA;
825;Equity Residential;$2,426;NA;NA;NA;NA;NA;NA;NA;NA;
826;J.Crew Group;$2,426;NA;NA;NA;NA;NA;NA;NA;NA;
827;Synopsys;$2,423;NA;NA;NA;NA;NA;NA;NA;NA;
828;Moog;$2,412;NA;NA;NA;NA;NA;NA;NA;NA;
829;Cabot;$2,411;NA;NA;NA;NA;NA;NA;NA;NA;
830;ITT;$2,405;NA;NA;NA;NA;NA;NA;NA;NA;
831;TRI Pointe Group;$2,405;NA;NA;NA;NA;NA;NA;NA;NA;
832;Maximus;$2,403;NA;NA;NA;NA;NA;NA;NA;NA;
833;Illumina;$2,398;NA;NA;NA;NA;NA;NA;NA;NA;
834;Amica Mutual Insurance;$2,397;NA;NA;NA;NA;NA;NA;NA;NA;
835;Alere;$2,395;NA;NA;NA;NA;NA;NA;NA;NA;
836;Toro;$2,392;NA;NA;NA;NA;NA;NA;NA;NA;
837;Sprague Resources;$2,390;NA;NA;NA;NA;NA;NA;NA;NA;
838;G-III Apparel Group;$2,386;NA;NA;NA;NA;NA;NA;NA;NA;
839;Hawaiian Electric Industries;$2,381;NA;NA;NA;NA;NA;NA;NA;NA;
840;Pinnacle Entertainment;$2,379;NA;NA;NA;NA;NA;NA;NA;NA;
841;Columbia Sportswear;$2,377;NA;NA;NA;NA;NA;NA;NA;NA;
842;First Republic Bank;$2,376;NA;NA;NA;NA;NA;NA;NA;NA;
843;Komatsu Mining;$2,371;NA;NA;NA;NA;NA;NA;NA;NA;
844;Trimble;$2,362;NA;NA;NA;NA;NA;NA;NA;NA;
845;Edgewell Personal Care;$2,362;NA;NA;NA;NA;NA;NA;NA;NA;
846;Belden;$2,357;NA;NA;NA;NA;NA;NA;NA;NA;
847;DST Systems;$2,355;NA;NA;NA;NA;NA;NA;NA;NA;
848;WGL Holdings;$2,350;NA;NA;NA;NA;NA;NA;NA;NA;
849;GGP;$2,346;NA;NA;NA;NA;NA;NA;NA;NA;
850;Brocade Communications Systems;$2,346;NA;NA;NA;NA;NA;NA;NA;NA;
851;Akamai Technologies;$2,340;NA;NA;NA;NA;NA;NA;NA;NA;
852;Nationstar Mortgage Holdings;$2,340;NA;NA;NA;NA;NA;NA;NA;NA;
853;Annaly Capital Management;$2,339;NA;NA;NA;NA;NA;NA;NA;NA;
854;Kansas City Southern;$2,334;NA;NA;NA;NA;NA;NA;NA;NA;
855;Revlon;$2,334;NA;NA;NA;NA;NA;NA;NA;NA;
856;AptarGroup;$2,331;NA;NA;NA;NA;NA;NA;NA;NA;
857;MDC Holdings;$2,327;NA;NA;NA;NA;NA;NA;NA;NA;
858;Vishay Intertechnology;$2,323;NA;NA;NA;NA;NA;NA;NA;NA;
859;Teradata;$2,322;NA;NA;NA;NA;NA;NA;NA;NA;
860;Spirit Airlines;$2,322;NA;NA;NA;NA;NA;NA;NA;NA;
861;EnerSys;$2,316;NA;NA;NA;NA;NA;NA;NA;NA;
862;Snyder’s-Lance;$2,314;NA;NA;NA;NA;NA;NA;NA;NA;
863;Benchmark Electronics;$2,310;NA;NA;NA;NA;NA;NA;NA;NA;
864;West;$2,292;NA;NA;NA;NA;NA;NA;NA;NA;
865;Selective Insurance Group;$2,284;NA;NA;NA;NA;NA;NA;NA;NA;
866;Party City Holdco;$2,283;NA;NA;NA;NA;NA;NA;NA;NA;
867;Cheesecake Factory;$2,276;NA;NA;NA;NA;NA;NA;NA;NA;
868;Lincoln Electric Holdings;$2,275;NA;NA;NA;NA;NA;NA;NA;NA;
869;Carlyle Group;$2,274;NA;NA;NA;NA;NA;NA;NA;NA;
870;Enable Midstream Partners;$2,272;NA;NA;NA;NA;NA;NA;NA;NA;
871;Oceaneering International;$2,272;NA;NA;NA;NA;NA;NA;NA;NA;
872;Vista Outdoor;$2,271;NA;NA;NA;NA;NA;NA;NA;NA;
873;Middleby;$2,268;NA;NA;NA;NA;NA;NA;NA;NA;
874;Herman Miller;$2,265;NA;NA;NA;NA;NA;NA;NA;NA;
875;PerkinElmer;$2,262;NA;NA;NA;NA;NA;NA;NA;NA;
876;OGE Energy;$2,259;NA;NA;NA;NA;NA;NA;NA;NA;
877;PCM;$2,251;NA;NA;NA;NA;NA;NA;NA;NA;
878;Louisiana-Pacific;$2,233;NA;NA;NA;NA;NA;NA;NA;NA;
879;MPM Holdings;$2,233;NA;NA;NA;NA;NA;NA;NA;NA;
880;Knights of Columbus;$2,228;NA;NA;NA;NA;NA;NA;NA;NA;
881;Apollo Global Management;$2,222;NA;NA;NA;NA;NA;NA;NA;NA;
882;Donaldson;$2,220;NA;NA;NA;NA;NA;NA;NA;NA;
883;American Equity Investment Life Holding;$2,220;NA;NA;NA;NA;NA;NA;NA;NA;
884;Super Micro Computer;$2,216;NA;NA;NA;NA;NA;NA;NA;NA;
885;Xilinx;$2,214;NA;NA;NA;NA;NA;NA;NA;NA;
886;Tupperware Brands;$2,213;NA;NA;NA;NA;NA;NA;NA;NA;
887;Guess;$2,209;NA;NA;NA;NA;NA;NA;NA;NA;
888;Nu Skin Enterprises;$2,208;NA;NA;NA;NA;NA;NA;NA;NA;
889;Magellan Midstream Partners;$2,205;NA;NA;NA;NA;NA;NA;NA;NA;
890;HNI;$2,204;NA;NA;NA;NA;NA;NA;NA;NA;
891;Maxim Integrated Products;$2,195;NA;NA;NA;NA;NA;NA;NA;NA;
892;Affiliated Managers Group;$2,195;NA;NA;NA;NA;NA;NA;NA;NA;
893;Express;$2,193;NA;NA;NA;NA;NA;NA;NA;NA;
894;Boyd Gaming;$2,184;NA;NA;NA;NA;NA;NA;NA;NA;
895;GEO Group;$2,180;NA;NA;NA;NA;NA;NA;NA;NA;
896;Tribune Media;$2,174;NA;NA;NA;NA;NA;NA;NA;NA;
897;Microchip Technology;$2,173;NA;NA;NA;NA;NA;NA;NA;NA;
898;Fitbit;$2,170;NA;NA;NA;NA;NA;NA;NA;NA;
899;Waters;$2,167;NA;NA;NA;NA;NA;NA;NA;NA;
900;Teledyne Technologies;$2,150;NA;NA;NA;NA;NA;NA;NA;NA;
901;Digital Realty Trust;$2,142;NA;NA;NA;NA;NA;NA;NA;NA;
902;RH;$2,135;NA;NA;NA;NA;NA;NA;NA;NA;
903;Fred’s;$2,125;NA;NA;NA;NA;NA;NA;NA;NA;
904;Universal;$2,120;NA;NA;NA;NA;NA;NA;NA;NA;
905;CDK Global;$2,115;NA;NA;NA;NA;NA;NA;NA;NA;
906;IDEX;$2,113;NA;NA;NA;NA;NA;NA;NA;NA;
907;Cliffs Natural Resources;$2,109;NA;NA;NA;NA;NA;NA;NA;NA;
908;Curtiss-Wright;$2,109;NA;NA;NA;NA;NA;NA;NA;NA;
909;Verisk Analytics;$2,108;NA;NA;NA;NA;NA;NA;NA;NA;
910;NOW;$2,107;NA;NA;NA;NA;NA;NA;NA;NA;
911;Apollo Education Group;$2,105;NA;NA;NA;NA;NA;NA;NA;NA;
912;Kennametal;$2,098;NA;NA;NA;NA;NA;NA;NA;NA;
913;H.B. Fuller;$2,095;NA;NA;NA;NA;NA;NA;NA;NA;
914;PharMerica;$2,091;NA;NA;NA;NA;NA;NA;NA;NA;
915;Engility Holdings;$2,076;NA;NA;NA;NA;NA;NA;NA;NA;
916;Sears Hometown & Outlet Stores;$2,070;NA;NA;NA;NA;NA;NA;NA;NA;
917;Bio-Rad Laboratories;$2,068;NA;NA;NA;NA;NA;NA;NA;NA;
918;Federated Mutual Insurance;$2,062;NA;NA;NA;NA;NA;NA;NA;NA;
919;Mueller Industries;$2,056;NA;NA;NA;NA;NA;NA;NA;NA;
920;Red Hat;$2,052;NA;NA;NA;NA;NA;NA;NA;NA;
921;NewMarket;$2,050;NA;NA;NA;NA;NA;NA;NA;NA;
922;Hospitality Properties Trust;$2,047;NA;NA;NA;NA;NA;NA;NA;NA;
923;AvalonBay Communities;$2,045;NA;NA;NA;NA;NA;NA;NA;NA;
924;Renewable Energy Group;$2,041;NA;NA;NA;NA;NA;NA;NA;NA;
925;Consol Energy;$2,040;NA;NA;NA;NA;NA;NA;NA;NA;
926;Ferrellgas Partners;$2,039;NA;NA;NA;NA;NA;NA;NA;NA;
927;Tower International;$2,033;NA;NA;NA;NA;NA;NA;NA;NA;
928;Autodesk;$2,031;NA;NA;NA;NA;NA;NA;NA;NA;
929;99 Cents Only Stores;$2,027;NA;NA;NA;NA;NA;NA;NA;NA;
930;E*Trade Financial;$2,026;NA;NA;NA;NA;NA;NA;NA;NA;
931;Woodward;$2,023;NA;NA;NA;NA;NA;NA;NA;NA;
932;Esterline Technologies;$2,015;NA;NA;NA;NA;NA;NA;NA;NA;
933;Itron;$2,013;NA;NA;NA;NA;NA;NA;NA;NA;
934;Werner Enterprises;$2,009;NA;NA;NA;NA;NA;NA;NA;NA;
935;Stewart Information Services;$2,007;NA;NA;NA;NA;NA;NA;NA;NA;
936;Hexcel;$2,004;NA;NA;NA;NA;NA;NA;NA;NA;
937;Genesee & Wyoming;$2,002;NA;NA;NA;NA;NA;NA;NA;NA;
938;Primoris Services;$1,997;NA;NA;NA;NA;NA;NA;NA;NA;
939;SPX FLOW;$1,996;NA;NA;NA;NA;NA;NA;NA;NA;
940;F5 Networks;$1,995;NA;NA;NA;NA;NA;NA;NA;NA;
941;VeriFone Systems;$1,992;NA;NA;NA;NA;NA;NA;NA;NA;
942;Texas Roadhouse;$1,991;NA;NA;NA;NA;NA;NA;NA;NA;
943;NLV Financial;$1,989;NA;NA;NA;NA;NA;NA;NA;NA;
944;Buffalo Wild Wings;$1,987;NA;NA;NA;NA;NA;NA;NA;NA;
945;Continental Resources;$1,980;NA;NA;NA;NA;NA;NA;NA;NA;
946;Arch Coal;$1,974;NA;NA;NA;NA;NA;NA;NA;NA;
947;Roadrunner Transportation Systems;$1,972;NA;NA;NA;NA;NA;NA;NA;NA;
948;Cooper Cos.;$1,967;NA;NA;NA;NA;NA;NA;NA;NA;
949;hhgregg;$1,960;NA;NA;NA;NA;NA;NA;NA;NA;
950;Euronet Worldwide;$1,959;NA;NA;NA;NA;NA;NA;NA;NA;
951;Griffon;$1,957;NA;NA;NA;NA;NA;NA;NA;NA;
952;CoreLogic;$1,953;NA;NA;NA;NA;NA;NA;NA;NA;
953;Nuance Communications;$1,949;NA;NA;NA;NA;NA;NA;NA;NA;
954;Matson;$1,942;NA;NA;NA;NA;NA;NA;NA;NA;
955;Popular;$1,933;NA;NA;NA;NA;NA;NA;NA;NA;
956;Alliance Holdings;$1,931;NA;NA;NA;NA;NA;NA;NA;NA;
957;REV Group;$1,926;NA;NA;NA;NA;NA;NA;NA;NA;
958;Rexnord;$1,924;NA;NA;NA;NA;NA;NA;NA;NA;
959;Cypress Semiconductor;$1,923;NA;NA;NA;NA;NA;NA;NA;NA;
960;Portland General Electric;$1,923;NA;NA;NA;NA;NA;NA;NA;NA;
961;Ply Gem Holdings;$1,912;NA;NA;NA;NA;NA;NA;NA;NA;
962;Cal-Maine Foods;$1,909;NA;NA;NA;NA;NA;NA;NA;NA;
963;Alliance One International;$1,905;NA;NA;NA;NA;NA;NA;NA;NA;
964;AMN Healthcare Services;$1,902;NA;NA;NA;NA;NA;NA;NA;NA;
965;American Greetings;$1,901;NA;NA;NA;NA;NA;NA;NA;NA;
966;Blackhawk Network Holdings;$1,900;NA;NA;NA;NA;NA;NA;NA;NA;
967;Pier 1 Imports;$1,892;NA;NA;NA;NA;NA;NA;NA;NA;
968;Finish Line;$1,889;NA;NA;NA;NA;NA;NA;NA;NA;
969;BlueLinx Holdings;$1,881;NA;NA;NA;NA;NA;NA;NA;NA;
970;New Jersey Resources;$1,881;NA;NA;NA;NA;NA;NA;NA;NA;
971;Deckers Outdoor;$1,875;NA;NA;NA;NA;NA;NA;NA;NA;
972;Murphy Oil;$1,874;NA;NA;NA;NA;NA;NA;NA;NA;
973;Teleflex;$1,868;NA;NA;NA;NA;NA;NA;NA;NA;
974;Par Pacific Holdings;$1,865;NA;NA;NA;NA;NA;NA;NA;NA;
975;SL Green Realty;$1,864;NA;NA;NA;NA;NA;NA;NA;NA;
976;GMS;$1,858;NA;NA;NA;NA;NA;NA;NA;NA;
977;CoreCivic;$1,850;NA;NA;NA;NA;NA;NA;NA;NA;
978;Deluxe;$1,849;NA;NA;NA;NA;NA;NA;NA;NA;
979;Catalent;$1,848;NA;NA;NA;NA;NA;NA;NA;NA;
980;GoDaddy;$1,848;NA;NA;NA;NA;NA;NA;NA;NA;
981;Wabash National;$1,845;NA;NA;NA;NA;NA;NA;NA;NA;
982;Adtalem Global Education;$1,844;NA;NA;NA;NA;NA;NA;NA;NA;
983;United Refining;$1,841;NA;NA;NA;NA;NA;NA;NA;NA;
984;Allison Transmission Holdings;$1,840;NA;NA;NA;NA;NA;NA;NA;NA;
985;Atlas Air Worldwide Holdings;$1,840;NA;NA;NA;NA;NA;NA;NA;NA;
986;ResMed;$1,839;NA;NA;NA;NA;NA;NA;NA;NA;
987;Delta Tucker Holdings;$1,836;NA;NA;NA;NA;NA;NA;NA;NA;
988;FleetCor Technologies;$1,832;NA;NA;NA;NA;NA;NA;NA;NA;
989;Central Garden & Pet;$1,829;NA;NA;NA;NA;NA;NA;NA;NA;
990;Beazer Homes USA;$1,822;NA;NA;NA;NA;NA;NA;NA;NA;
991;New York Community Bancorp;$1,820;NA;NA;NA;NA;NA;NA;NA;NA;
992;Cadence Design Systems;$1,816;NA;NA;NA;NA;NA;NA;NA;NA;
993;Carpenter Technology;$1,813;NA;NA;NA;NA;NA;NA;NA;NA;
994;Marriott Vacations Worldwide;$1,811;NA;NA;NA;NA;NA;NA;NA;NA;
995;FTI Consulting;$1,810;NA;NA;NA;NA;NA;NA;NA;NA;
996;Nordson;$1,809;NA;NA;NA;NA;NA;NA;NA;NA;
997;Briggs & Stratton;$1,809;NA;NA;NA;NA;NA;NA;NA;NA;
998;Kaman;$1,808;NA;NA;NA;NA;NA;NA;NA;NA;
999;Overstock.com;$1,800;NA;NA;NA;NA;NA;NA;NA;NA;
1000;Regis;$1,791;NA;NA;NA;NA;NA;NA;NA;NA;
